Ref,Val,Package,PosX,PosY,Rot,Side
"C3","CAP_100nF_50V_0402","C_0402_1005Metric",172.000000,-79.500000,270.000000,bottom
"C4","CAP_100nF_50V_0402","C_0402_1005Metric",162.500000,-79.500000,270.000000,bottom
"C5","CAP_2.2uF_16V_0402","C_0402_1005Metric",157.500000,-95.400000,0.000000,bottom
"C6","CAP_2.2uF_16V_0402","C_0402_1005Metric",173.700000,-96.000000,90.000000,bottom
"C29","CAP_100nF_50V_0402","C_0402_1005Metric",157.500000,-96.400000,0.000000,bottom
"C32","CAP_100nF_50V_0402","C_0402_1005Metric",159.000000,-79.500000,270.000000,bottom
"C34","CAP_100nF_50V_0402","C_0402_1005Metric",174.000000,-79.000000,180.000000,bottom
"C35","CAP_100nF_50V_0402","C_0402_1005Metric",166.500000,-79.500000,270.000000,bottom
"C37","CAP_2.2uF_16V_0402","C_0402_1005Metric",185.430793,-127.201850,90.000000,bottom
"C39","CAP_100nF_50V_0402","C_0402_1005Metric",174.100000,-90.500000,180.000000,bottom
"C40","CAP_100nF_50V_0402","C_0402_1005Metric",160.000000,-79.500000,270.000000,bottom
"C41","CAP_100nF_50V_0402","C_0402_1005Metric",157.000000,-79.500000,90.000000,bottom
"C42","CAP_100nF_50V_0402","C_0402_1005Metric",167.900000,-96.000000,90.000000,bottom
"C43","CAP_100nF_50V_0402","C_0402_1005Metric",157.500000,-85.900000,0.000000,bottom
"C44","CAP_100nF_50V_0402","C_0402_1005Metric",162.500000,-96.000000,90.000000,bottom
"C47","CAP_100nF_50V_0402","C_0402_1005Metric",157.500000,-91.300000,0.000000,bottom
"C48","CAP_100nF_50V_0402","C_0402_1005Metric",174.000000,-85.750000,180.000000,bottom
"C49","CAP_10uF_25V_0805","C_0805_2012Metric",157.574247,-133.388323,90.000000,bottom
"C50","CAP_100nF_50V_0402","C_0402_1005Metric",158.000000,-79.500000,270.000000,bottom
"C53","CAP_2.2uF_16V_0402","C_0402_1005Metric",158.000000,-136.250000,270.000000,bottom
"C54","CAP_22uF_10V_0805","C_0805_2012Metric",180.221947,-56.758511,180.000000,bottom
"C56","CAP_2.2uF_16V_0402","C_0402_1005Metric",159.574247,-137.888323,180.000000,bottom
"C57","CAP_2.2uF_16V_0402","C_0402_1005Metric",161.324247,-137.888323,0.000000,bottom
"C63","CAP_100nF_50V_0402","C_0402_1005Metric",133.300000,-95.900000,0.000000,bottom
"C70","CAP_100nF_50V_0402","C_0402_1005Metric",133.300000,-96.900000,180.000000,bottom
"C73","CAP_2.2uF_16V_0402","C_0402_1005Metric",63.500000,-29.250000,270.000000,bottom
"C74","CAP_2.2uF_16V_0402","C_0402_1005Metric",118.300000,-32.587500,270.000000,bottom
"C75","CAP_2.2uF_16V_0402","C_0402_1005Metric",130.500000,-32.600000,270.000000,bottom
"C76","CAP_2.2uF_16V_0402","C_0402_1005Metric",142.750000,-32.750000,90.000000,bottom
"C77","CAP_2.2uF_16V_0402","C_0402_1005Metric",118.800000,-145.400000,270.000000,bottom
"C78","CAP_2.2uF_16V_0402","C_0402_1005Metric",106.500000,-145.400000,270.000000,bottom
"C79","CAP_2.2uF_16V_0402","C_0402_1005Metric",81.100000,-148.500000,90.000000,bottom
"C80","CAP_2.2uF_16V_0402","C_0402_1005Metric",131.000000,-145.400000,270.000000,bottom
"C81","CAP_2.2uF_16V_0402","C_0402_1005Metric",138.700000,-87.950000,180.000000,bottom
"C83","CAP_100nF_50V_0402","C_0402_1005Metric",132.250000,-48.000000,-0.000000,bottom
"C85","CAP_2.2uF_16V_0402","C_0402_1005Metric",132.300000,-120.400000,0.000000,bottom
"C86","CAP_100nF_50V_0402","C_0402_1005Metric",225.050000,-67.350000,180.000000,bottom
"C90","CAP_0.022uF_100V_0603","C_0603_1608Metric",132.900000,-119.000000,180.000000,bottom
"C95","CAP_100nF_50V_0402","C_0402_1005Metric",210.500000,-64.350000,180.000000,bottom
"C114","CAP_100nF_50V_0402","C_0402_1005Metric",215.000000,-70.500000,180.000000,bottom
"C117","CAP_100nF_50V_0402","C_0402_1005Metric",225.050000,-69.350000,180.000000,bottom
"C118","CAP_100nF_50V_0402","C_0402_1005Metric",210.500000,-66.400000,180.000000,bottom
"C119","CAP_100nF_50V_0402","C_0402_1005Metric",225.050000,-62.850000,0.000000,bottom
"C123","CAP_100nF_100V_0603","C_0603_1608Metric",123.823227,-63.654860,90.000000,bottom
"C124","CAP_100nF_100V_0603","C_0603_1608Metric",123.900000,-130.600000,90.000000,bottom
"C145","CAP_100nF_100V_0603","C_0603_1608Metric",123.808313,-67.152770,90.000000,bottom
"C146","CAP_100nF_100V_0603","C_0603_1608Metric",123.900000,-134.200000,90.000000,bottom
"C147","CAP_2.2uF_16V_0402","C_0402_1005Metric",100.100000,-148.700000,270.000000,bottom
"C148","CAP_2.2uF_16V_0402","C_0402_1005Metric",93.400000,-34.600000,270.000000,bottom
"C149","CAP_100nF_100V_0603","C_0603_1608Metric",124.058313,-70.752770,90.000000,bottom
